Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Grupo de edad (product.metafields.shopify.age-group),Artículos de salud para bebés incluidos (product.metafields.shopify.baby-health-items-included),Características del vigilabebés (product.metafields.shopify.baby-monitor-features),Características del mobiliario para niños pequeños/bebés (product.metafields.shopify.baby-toddler-furniture-features),Características de sillas para niños pequeños/bebés (product.metafields.shopify.baby-toddler-seat-features),Características de la bolsa/caja (product.metafields.shopify.bag-case-features),Material de la bolsa/caja (product.metafields.shopify.bag-case-material),Características de almacenamiento de la bolsa/caja (product.metafields.shopify.bag-case-storage-features),Instrucciones de cuidado (product.metafields.shopify.care-instructions),Opciones de transporte (product.metafields.shopify.carry-options),Posiciones de transporte (product.metafields.shopify.carrying-positions),Instrucciones de limpieza (product.metafields.shopify.cleaning-instructions),Tipo de cierre (product.metafields.shopify.closure-type),Color (product.metafields.shopify.color-pattern),Tecnología de conectividad (product.metafields.shopify.connectivity-technology),Tipo de control (product.metafields.shopify.control-type),Características de desarrollo (product.metafields.shopify.developmental-features),Características del organizador de pañales (product.metafields.shopify.diaper-organizer-features),Modo de color de pantalla (product.metafields.shopify.display-color-mode),Tecnología de pantalla (product.metafields.shopify.display-technology),Tejido (product.metafields.shopify.fabric),Mecanismo de plegado (product.metafields.shopify.folding-mechanism),Material de muebles/componentes (product.metafields.shopify.furniture-fixture-material),Grupo de edad de infantes (product.metafields.shopify.infant-age-group),Material (product.metafields.shopify.material),Tipo de medición (product.metafields.shopify.measuring-type),Tipo de montaje móvil (product.metafields.shopify.mobile-mounting-type),Diseño del nebulizador (product.metafields.shopify.nebulizer-design),Tecnología del nebulizador (product.metafields.shopify.nebulizer-technology),Diseño de chupete/mordedor (product.metafields.shopify.pacifier-teether-design),Características de diseño del patio de juegos (product.metafields.shopify.play-yard-design-features),Portabilidad (product.metafields.shopify.portability),Fuente de alimentación (product.metafields.shopify.power-source),Certificaciones y estándares del producto (product.metafields.shopify.product-certifications-standards),Accesorios para extractores (product.metafields.shopify.pump-accessories),Tipo de rango (product.metafields.shopify.range-type),Grupo de edad recomendado (product.metafields.shopify.recommended-age-group),Tipo de propulsión de juguete para montar (product.metafields.shopify.riding-toy-propulsion-type),Talla del calzado (product.metafields.shopify.shoe-size),Talla (product.metafields.shopify.size),Tiempo del ciclo de esterilización (product.metafields.shopify.sterilization-cycle-time),Método de esterilización (product.metafields.shopify.sterilization-method),Características del cochecito (product.metafields.shopify.stroller-features),Tipo de rueda de cochecito (product.metafields.shopify.stroller-wheel-type),Niveles de succión (product.metafields.shopify.suction-levels),Sexo objetivo (product.metafields.shopify.target-gender),Medición de temperatura (product.metafields.shopify.temperature-measurement),Muestra de prueba (product.metafields.shopify.test-sample),Material del juguete/juego (product.metafields.shopify.toy-game-material),Objetivo de tratamiento (product.metafields.shopify.treatment-objective),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
conjunto-de-ropa-pointelle-para-bebe,Conjunto de Ropa Pointelle para Bebé,"",Baby Heaven,Uncategorized,"","",true,Meses,12-18M,,,,,,,,,0.0,shopify,1,deny,manual,494.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/0591/5448/files/IMG_8595.png?v=1757223499,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0894/0591/5448/files/IMG_8595.png?v=1757223499,kg,,,active
conjunto-de-ropa-pointelle-para-bebe,,,,,,,,,6-12M,,,,,,,,,0.0,shopify,0,deny,manual,494.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
paquete-de-5-bodies-de-algodon,Paquete de 5 Bodies de Algodón,"",Baby Heaven,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Tops > Bodysuits,"","",true,Meses,3-6M,,,,,,,,,0.0,shopify,1,deny,manual,746.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/0591/5448/files/IMG_8596.png?v=1757223427,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
paquete-de-5-bodies-de-algodon,,,,,,,,,6-12M,,,,,,,,,0.0,shopify,0,deny,manual,746.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
conjunto-de-algodon-de-2-piezas,Conjunto de Algodón de 2 Piezas,"",Baby Heaven,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Sleepwear,"","",true,Meses,0-3M,,,,,,,,,0.0,shopify,1,deny,manual,550.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/0591/5448/files/IMG_8597.png?v=1757223361,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
conjunto-de-algodon-de-2-piezas,,,,,,,,,3-6M,,,,,,,,,0.0,shopify,0,deny,manual,550.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
vestido-de-algodon-con-recorte-de-volantes,Vestido de Algodón con Recorte de Volantes,"",Baby Heaven,Apparel & Accessories > Clothing > Dresses,"","",true,Meses,3-6M,,,,,,,,,0.0,shopify,1,deny,manual,860.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/0591/5448/files/IMG_8598.png?v=1757223301,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
vestido-de-algodon-con-recorte-de-volantes,,,,,,,,,6-12M,,,,,,,,,0.0,shopify,0,deny,manual,860.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
paquete-de-10-bodies-de-algodon-organico-de-manga-corta,Paquete de 10 Bodies de Algodón Orgánico de Manga Corta,"",Baby Heaven,Uncategorized,"","",true,Meses,0-3M,,,,,,,,,0.0,shopify,1,deny,manual,1934.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/0591/5448/files/IMG_8599.png?v=1757223129,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
paquete-de-10-bodies-de-algodon-organico-de-manga-corta,,,,,,,,,3-6M,,,,,,,,,0.0,shopify,1,deny,manual,1934.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
